learning_rate,weight_decay,dropout,hidden_dim,num_gnn_layers,gnn_type,correlation_threshold,anatomic_weight,enable_basal_pattern,enable_sudden_death,trial_id,brugada_f2_mean,brugada_f2_std,brugada_accuracy_mean,brugada_accuracy_std
0.0012,0.005,0.6,96,2,gcn,0.5,0.7,False,True,18,0.7627127774186597,0.07989584328127948,0.7454545454545455,0.05938156952201646
0.0015,0.015,0.6,32,3,gat,0.6,0.7,False,True,1,0.7527922913827049,0.06709836647560706,0.7515151515151515,0.10942709142586539
0.0012,0.01,0.5,64,3,gat,0.5,0.7,False,False,2,0.7466973886328726,0.037982962242359794,0.7757575757575758,0.05620374845754968
0.0015,0.005,0.6,96,3,gcn,0.5,0.7,False,True,0,0.7306619507706463,0.10053767292729784,0.7454545454545455,0.10391774666352878
0.0012,0.005,0.6,96,3,gat,0.5,0.7,False,False,14,0.7262647262647262,0.06016746797269092,0.7393939393939394,0.05213530464874321
0.0012,0.015,0.4,64,3,gcn,0.6,0.7,False,True,10,0.7254086069875543,0.04530924862992471,0.7393939393939394,0.04285495643554835
0.001,0.015,0.4,96,2,gcn,0.5,0.7,False,False,5,0.7193472841278234,0.09753180709672722,0.8242424242424242,0.008570991287109617
0.0012,0.01,0.4,96,2,gat,0.5,0.7,False,True,17,0.7040393271736556,0.058162598404191614,0.6909090909090909,0.11594622102853938
0.0012,0.005,0.4,32,2,gcn,0.5,0.8,False,False,3,0.7038288288288289,0.07842560966882951,0.7333333333333334,0.045353422869987184
0.0015,0.015,0.6,64,3,gat,0.6,0.7,False,True,19,0.700749733358429,0.122375303174219,0.7575757575757575,0.09884549351697025
0.0015,0.01,0.5,96,3,gcn,0.6,0.7,False,False,4,0.7002527988443482,0.005618038709318889,0.7515151515151516,0.03428396514843868
0.0015,0.005,0.4,96,2,gcn,0.5,0.8,True,True,12,0.6910026910026911,0.1145360034878949,0.7636363636363636,0.19412869549147838
0.001,0.01,0.5,64,2,gat,0.5,0.8,False,False,6,0.6909570929507609,0.1230065713371005,0.787878787878788,0.03428396514843862
0.001,0.01,0.4,32,2,gcn,0.5,0.7,True,True,11,0.6854486350449159,0.1230667505549729,0.6787878787878787,0.12450083990408567
0.0012,0.01,0.5,64,3,gat,0.6,0.7,True,False,8,0.6681331953071084,0.16292818742669163,0.7393939393939394,0.04285495643554835
0.0015,0.015,0.4,96,2,gat,0.5,0.8,False,False,7,0.6462166305916306,0.10155599713041644,0.7575757575757577,0.01714198257421934
0.0012,0.01,0.5,64,3,gat,0.5,0.8,True,False,9,0.6440596362093306,0.14838450154734978,0.7333333333333334,0.13305756606121302
0.0012,0.015,0.6,32,2,gcn,0.5,0.8,True,True,15,0.642158110869551,0.12680317858985046,0.787878787878788,0.030903148567229012
0.001,0.01,0.6,96,3,gcn,0.5,0.7,True,True,16,0.6290882661713639,0.08262066700935361,0.7272727272727272,0.039277216353987045
0.001,0.015,0.4,64,2,gat,0.5,0.8,True,True,13,0.5897453143215855,0.06290521701102493,0.7999999999999999,0.03927721635398701
